# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Jul 11 04:41:11 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Attention: photometry includes extinction of Av=0.19, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
4.9184e-05 -2.19174 9.90309 0.1000000015 1.1711064122    0.100 -2.784  3.5581  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.472e-01 2.527e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.731 14.643 14.035 13.139 12.496 12.121 11.188 11.051
4.9184e-05 -2.19174 9.90309 0.1098214313 1.2482754908    0.109 -2.636  3.5735  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-16      0.00 7.460e-01 2.539e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.359 14.021 13.453 12.634 12.028 11.666 10.831 10.705
4.9184e-05 -2.19174 9.90309 0.1294642836 1.3786745408    0.129 -2.396  3.5960  5.280    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-16      0.00 7.439e-01 2.560e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.759 13.089 12.568 11.851 11.321 10.990 10.242 10.127
4.9184e-05 -2.19174 9.90309 0.1491071582 1.4855959672    0.149 -2.236  3.6074  5.228    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-16      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.360 12.549 12.047 11.371 10.876 10.560 9.843 9.734
4.9184e-05 -2.19174 9.90309 0.1687500030 1.5756139920    0.168 -2.112  3.6147  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-16      0.00 7.417e-01 2.582e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.049 12.153 11.664 11.010 10.536 10.230 9.532 9.426
4.9184e-05 -2.19174 9.90309 0.2080357224 1.7204495903    0.207 -1.908  3.6258  5.118    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.42e-16      0.00 7.410e-01 2.589e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.540 11.523 11.051 10.428 9.983 9.690 9.019 8.918
4.9184e-05 -2.19174 9.90309 0.2571428716 1.8581268277    0.257 -1.716  3.6359  5.059    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-15      0.00 7.411e-01 2.588e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.060 10.940 10.483 9.886 9.465 9.184 8.535 8.438
4.9184e-05 -2.19174 9.90309 0.3062500358 1.9652636675    0.306 -1.567  3.6442  5.019    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-15      0.00 7.412e-01 2.587e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.996e-05 8.689 10.488 10.044 9.466 9.063 8.790 8.160 8.066
4.9184e-05 -2.19174 9.90309 0.3553571403 2.0521113302    0.355 -1.444  3.6519  4.992    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-15      0.00 7.422e-01 2.577e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.380 10.107 9.675 9.114 8.727 8.461 7.848 7.757
4.9184e-05 -2.19174 9.90309 0.4044643044 2.1246090444    0.404 -1.328  3.6600  4.965    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.091 9.744 9.326 8.783 8.411 8.153 7.556 7.469
4.9184e-05 -2.19174 9.90309 0.4058484435 2.1264846029    0.405 -1.324  3.6604  4.964    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.081 9.731 9.313 8.771 8.399 8.141 7.546 7.459
4.9184e-05 -2.19174 9.90309 0.4535714388 2.1864813481    0.453 -1.188  3.6726  4.924    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.18e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.740 9.283 8.888 8.372 8.022 7.775 7.205 7.123
4.9184e-05 -2.19174 9.90309 0.5026785731 2.2401984691    0.503 -1.033  3.6864  4.869    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.04e-15      0.00 7.520e-01 2.479e-01 1.790e-05 4.829e-06 4.380e-05 -1.000 1.000e-04 7.352 8.778 8.412 7.925 7.599 7.364 6.822 6.745
4.9184e-05 -2.19174 9.90309 0.5517857671 2.2851312492    0.551 -0.851  3.7041  4.799    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-15      0.00 7.736e-01 2.263e-01 1.643e-05 4.435e-06 4.024e-05 -1.000 9.775e-05 6.897 8.184 7.856 7.408 7.108 6.889 6.383 6.312
4.9184e-05 -2.19174 9.90309 0.6008928418 2.3217254164    0.601 -0.665  3.7262  4.739    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 7.822e-01 2.177e-01 1.587e-05 4.285e-06 3.889e-05 -1.000 6.035e-05 6.433 7.569 7.285 6.881 6.612 6.410 5.948 5.884
4.9184e-05 -2.19174 9.90309 0.6081272364 2.3265451551    0.608 -0.637  3.7300  4.731    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.838e-01 2.161e-01 1.576e-05 4.258e-06 3.864e-05 -1.000 1.000e-04 6.362 7.475 7.197 6.801 6.537 6.338 5.882 5.820
4.9184e-05 -2.19174 9.90309 0.6245759130 2.3370273669    0.624 -0.572  3.7386  4.712    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 7.877e-01 2.122e-01 1.552e-05 4.191e-06 3.804e-05 -1.000 1.000e-04 6.201 7.266 7.003 6.622 6.369 6.176 5.736 5.676
4.9184e-05 -2.19174 9.90309 0.6395066977 2.3460073277    0.639 -0.514  3.7463  4.695    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 7.915e-01 2.084e-01 1.527e-05 4.126e-06 3.746e-05 -1.000 1.000e-04 6.056 7.079 6.829 6.463 6.219 6.032 5.606 5.549
4.9184e-05 -2.19174 9.90309 0.6499999762 2.3520353107    0.650 -0.473  3.7518  4.683    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.943e-01 2.057e-01 1.509e-05 4.078e-06 3.703e-05 -1.000 1.477e-05 5.953 6.949 6.708 6.352 6.116 5.933 5.516 5.461
4.9184e-05 -2.19174 9.90309 0.6527919769 2.3536017159    0.653 -0.462  3.7532  4.680    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 7.953e-01 2.047e-01 1.503e-05 4.062e-06 3.688e-05 -1.000 5.782e-06 5.926 6.915 6.677 6.323 6.088 5.906 5.493 5.438
4.9184e-05 -2.19174 9.90309 0.6705458760 2.3632122751    0.670 -0.392  3.7622  4.657    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-14      0.00 8.014e-01 1.985e-01 1.464e-05 3.956e-06 3.594e-05 -1.000 9.999e-05 5.751 6.698 6.474 6.137 5.913 5.738 5.340 5.288
4.9184e-05 -2.19174 9.90309 0.6862142682 2.3712205567    0.686 -0.330  3.7700  4.637    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-14      0.00 8.073e-01 1.926e-01 1.425e-05 3.854e-06 3.501e-05 -1.000 7.318e-05 5.596 6.511 6.298 5.974 5.760 5.590 5.206 5.156
4.9184e-05 -2.19174 9.90309 0.6999999881 2.3779266974    0.700 -0.275  3.7767  4.617    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 8.131e-01 1.868e-01 1.388e-05 3.755e-06 3.413e-05 -1.000 9.996e-05 5.459 6.349 6.146 5.833 5.625 5.460 5.086 5.037
4.9184e-05 -2.19174 9.90309 0.7145922780 2.3847019998    0.714 -0.217  3.7834  4.594    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -4.54e-14      0.00 8.207e-01 1.792e-01 1.336e-05 3.629e-06 3.302e-05 -1.000 1.000e-04 5.312 6.178 5.984 5.682 5.481 5.321 4.958 4.911
4.9184e-05 -2.19174 9.90309 0.7304120660 2.3916966527    0.730 -0.152  3.7903  4.567    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-14      0.00 8.289e-01 1.711e-01 1.283e-05 3.500e-06 3.188e-05 -1.000 3.836e-05 5.150 5.990 5.806 5.515 5.322 5.168 4.816 4.771
4.9184e-05 -2.19174 9.90309 0.7449926138 2.3978417752    0.745 -0.091  3.7965  4.539    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.33e-14      0.00 8.360e-01 1.639e-01 1.238e-05 3.393e-06 3.094e-05 -1.000 6.267e-05 4.998 5.815 5.639 5.358 5.173 5.023 4.681 4.638
4.9184e-05 -2.19174 9.90309 0.7500000000 2.3998889087    0.750 -0.070  3.7986  4.529    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1  -6.7e-14      0.00 8.384e-01 1.615e-01 1.224e-05 3.360e-06 3.064e-05 -1.000 9.158e-05 4.945 5.755 5.581 5.304 5.120 4.972 4.634 4.591
4.9184e-05 -2.19174 9.90309 0.7589957714 2.4034886741    0.759 -0.031  3.8025  4.511    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -7.43e-14      0.00 8.390e-01 1.610e-01 1.227e-05 3.370e-06 3.075e-05 -1.000 1.186e-05 4.849 5.645 5.476 5.205 5.025 4.880 4.548 4.507
4.9184e-05 -2.19174 9.90309 0.7725012898 2.4087124617    0.772  0.028  3.8082  4.482    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -8.72e-14      0.00 8.398e-01 1.602e-01 1.233e-05 3.389e-06 3.094e-05 -1.000 -2.980e-08 4.700 5.475 5.313 5.051 4.878 4.736 4.414 4.375
4.9184e-05 -2.19174 9.90309 0.7849732041 2.4133533262    0.784  0.085  3.8135  4.453    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-13      0.00 8.403e-01 1.596e-01 1.239e-05 3.407e-06 3.112e-05 -1.000 8.154e-05 4.557 5.313 5.156 4.903 4.735 4.597 4.284 4.246
4.9184e-05 -2.19174 9.90309 0.7963588834 2.4174443598    0.796  0.140  3.8183  4.424    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 8.407e-01 1.592e-01 1.245e-05 3.425e-06 3.130e-05 -1.000 9.294e-05 4.420 5.158 5.007 4.760 4.597 4.463 4.157 4.121
4.9184e-05 -2.19174 9.90309 0.8000000119 2.4187244405    0.799  0.158  3.8198  4.414    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-13      0.00 8.409e-01 1.590e-01 1.247e-05 3.431e-06 3.136e-05 -1.000 9.996e-05 4.375 5.108 4.958 4.713 4.552 4.419 4.116 4.080
4.9184e-05 -2.19174 9.90309 0.8005137444 2.4189039713    0.800  0.160  3.8200  4.413    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 8.409e-01 1.590e-01 1.247e-05 3.431e-06 3.136e-05 -1.000 9.917e-05 4.369 5.101 4.951 4.707 4.546 4.413 4.110 4.074
4.9184e-05 -2.19174 9.90309 0.8107355237 2.4224217867    0.810  0.213  3.8247  4.384    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 8.408e-01 1.591e-01 1.249e-05 3.436e-06 3.140e-05 -1.000 8.078e-05 4.237 4.952 4.806 4.568 4.412 4.282 3.987 3.953
4.9184e-05 -2.19174 9.90309 0.8201466799 2.4255716232    0.819  0.265  3.8291  4.355    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-13      0.00 8.407e-01 1.592e-01 1.250e-05 3.442e-06 3.146e-05 -1.000 9.090e-05 4.107 4.806 4.664 4.432 4.281 4.154 3.867 3.833
4.9184e-05 -2.19174 9.90309 0.8291936517 2.4285221859    0.828  0.319  3.8335  4.323    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 8.404e-01 1.595e-01 1.253e-05 3.450e-06 3.153e-05 -1.000 1.000e-04 3.974 4.656 4.518 4.292 4.145 4.022 3.742 3.710
4.9184e-05 -2.19174 9.90309 0.8369805813 2.4310031473    0.836  0.368  3.8371  4.293    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-13      0.00 8.401e-01 1.598e-01 1.256e-05 3.457e-06 3.160e-05 -1.000 8.138e-05 3.850 4.517 4.383 4.163 4.019 3.899 3.626 3.595
4.9184e-05 -2.19174 9.90309 0.8445076942 2.4333513864    0.843  0.419  3.8406  4.260    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-13      0.00 8.398e-01 1.602e-01 1.259e-05 3.465e-06 3.167e-05 -1.000 6.072e-05 3.723 4.376 4.245 4.030 3.890 3.772 3.506 3.475
4.9184e-05 -2.19174 9.90309 0.8500000238 2.4350346840    0.849  0.457  3.8431  4.234    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-13      0.00 8.395e-01 1.605e-01 1.261e-05 3.471e-06 3.173e-05 -1.000 5.011e-05 3.627 4.269 4.140 3.929 3.792 3.676 3.414 3.385
4.9184e-05 -2.19174 9.90309 0.8500191569 2.4350405042    0.849  0.457  3.8431  4.234    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-13      0.00 8.395e-01 1.605e-01 1.261e-05 3.471e-06 3.173e-05 -1.000 5.013e-05 3.626 4.269 4.140 3.928 3.792 3.676 3.414 3.384
4.9184e-05 -2.19174 9.90309 0.8587656617 2.4376699649    0.857  0.522  3.8473  4.190    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-13      0.00 8.389e-01 1.610e-01 1.264e-05 3.479e-06 3.180e-05 -1.000 8.428e-05 3.464 4.088 3.963 3.758 3.626 3.514 3.260 3.232
4.9184e-05 -2.19174 9.90309 0.8666877747 2.4399989884    0.865  0.587  3.8503  4.141    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-13      0.00 8.373e-01 1.626e-01 1.273e-05 3.503e-06 3.202e-05 -1.000 6.595e-05 3.302 3.911 3.789 3.589 3.460 3.350 3.103 3.075
4.9184e-05 -2.19174 9.90309 0.8687046170 2.4405841242    0.867  0.605  3.8509  4.126    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-13      0.00 8.368e-01 1.631e-01 1.276e-05 3.511e-06 3.209e-05 -1.000 6.193e-05 3.257 3.863 3.742 3.543 3.415 3.306 3.060 3.032
4.9184e-05 -2.19174 9.90309 0.8695191741 2.4408195626    0.868  0.613  3.8509  4.119    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -4.81e-13      0.00 8.366e-01 1.633e-01 1.277e-05 3.514e-06 3.212e-05 -1.000 6.026e-05 3.238 3.843 3.722 3.523 3.395 3.286 3.040 3.013
4.9184e-05 -2.19174 9.90309 0.8741236329 2.4421409460    0.872  0.660  3.8503  4.072    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -5.61e-13      0.00 8.355e-01 1.645e-01 1.284e-05 3.532e-06 3.228e-05 -1.000 5.102e-05 3.120 3.723 3.601 3.403 3.275 3.166 2.920 2.892
4.9184e-05 -2.19174 9.90309 0.8785535693 2.4433972226    0.877  0.712  3.8467  4.008    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -6.79e-13      0.00 8.344e-01 1.656e-01 1.290e-05 3.550e-06 3.243e-05 -1.000 4.219e-05 2.990 3.599 3.476 3.274 3.143 3.032 2.781 2.752
4.9184e-05 -2.19174 9.90309 0.8793414831 2.4436191412    0.877  0.722  3.8456  3.994    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-13      0.00 8.342e-01 1.658e-01 1.291e-05 3.553e-06 3.246e-05 -1.000 4.059e-05 2.965 3.576 3.452 3.249 3.118 3.006 2.753 2.724
4.9184e-05 -2.19174 9.90309 0.8800811172 2.4438270459    0.878  0.732  3.8441  3.978    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1  -7.4e-13      0.00 8.340e-01 1.660e-01 1.292e-05 3.556e-06 3.248e-05 -1.000 3.909e-05 2.940 3.554 3.429 3.225 3.092 2.979 2.724 2.695
4.9184e-05 -2.19174 9.90309 0.8825608492 2.4445211540    0.881  0.769  3.8368  3.913    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -8.63e-13      0.00 8.334e-01 1.666e-01 1.296e-05 3.566e-06 3.257e-05 -1.000 3.420e-05 2.847 3.481 3.351 3.138 2.998 2.881 2.614 2.582
4.9184e-05 -2.19174 9.90309 0.8844460845 2.4450458611    0.882  0.802  3.8273  3.843    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-12      0.00 8.329e-01 1.671e-01 1.299e-05 3.573e-06 3.264e-05 -1.000 3.053e-05 2.765 3.427 3.289 3.064 2.916 2.792 2.510 2.476
4.9184e-05 -2.19174 9.90309 0.8855771422 2.4453594293    0.883  0.825  3.8192  3.788    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-12      0.00 8.326e-01 1.673e-01 1.300e-05 3.577e-06 3.268e-05 -1.000 2.824e-05 2.708 3.395 3.251 3.016 2.860 2.731 2.435 2.399
4.9184e-05 -2.19174 9.90309 0.8865250945 2.4456215258    0.884  0.846  3.8106  3.733    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-12      0.00 8.324e-01 1.676e-01 1.302e-05 3.581e-06 3.271e-05 -1.000 2.640e-05 2.655 3.371 3.219 2.973 2.808 2.673 2.364 2.325
